f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f jV1m jV1f jV2m jV2f 
775512.44898 0.00000 -180.00000 0.26416 -0.06947 0.16099 -0.14209 0.10000 0.00000 6.66012 179.12064 0.00079 179.11877 0.20110 -89.90115 
795920.40816 0.00000 -180.00000 0.26416 -0.06768 0.16099 -0.13845 0.10000 -0.00000 6.66008 179.09201 0.00079 179.09008 0.20639 -89.90368 
816328.36735 0.00000 -180.00000 0.26416 -0.06599 0.16099 -0.13498 0.10000 0.00000 6.66003 179.06353 0.00079 179.06152 0.21168 -89.90609 
836736.32653 0.00000 -180.00000 0.26416 -0.06438 0.16099 -0.13169 0.10000 0.00000 6.65998 179.03516 0.00079 179.03309 0.21698 -89.90839 
857144.28571 0.00000 -180.00000 0.26416 -0.06285 0.16099 -0.12855 0.10000 -0.00000 6.65994 179.00692 0.00079 179.00477 0.22227 -89.91057 
877552.24490 0.00000 -180.00000 0.26416 -0.06138 0.16099 -0.12556 0.10000 -0.00000 6.65989 178.97878 0.00079 178.97657 0.22756 -89.91265 
897960.20408 0.00000 -180.00000 0.26416 -0.05999 0.16099 -0.12271 0.10000 -0.00000 6.65984 178.95075 0.00079 178.94847 0.23285 -89.91464 
918368.16327 0.00000 -180.00000 0.26416 -0.05865 0.16099 -0.11998 0.10000 -0.00000 6.65978 178.92281 0.00079 178.92046 0.23814 -89.91654 
938776.12245 0.00000 -180.00000 0.26416 -0.05737 0.16099 -0.11737 0.10000 -0.00000 6.65973 178.89495 0.00079 178.89254 0.24344 -89.91836 
959184.08163 0.00000 -180.00000 0.26416 -0.05615 0.16099 -0.11487 0.10000 -0.00000 6.65968 178.86718 0.00079 178.86470 0.24873 -89.92009 
979592.04082 0.00000 -180.00000 0.26416 -0.05498 0.16099 -0.11248 0.10000 0.00000 6.65962 178.83949 0.00079 178.83695 0.25402 -89.92176 
1000000.00000 0.00000 -180.00000 0.26281 -0.05420 0.16216 -0.10815 0.10000 -0.00000 6.62128 178.82703 0.00079 178.82445 0.26119 -89.92382 
